Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
Kalman,3e-09,0.25044245575596574,296.0,0.056206830164183375
Kalman,3e-09,0.27656008059226606,174.0,0.08658646649933889
Kalman,3e-09,0.2771447997830198,180.0,0.0835236604340804
Kalman,3e-09,0.21747594142647472,365.0,0.052490979182700376
Kalman,3e-09,0.21677701635352423,422.0,0.04554734565319793
Kalman,3e-09,0.25474100328326327,217.0,0.0753754936628601
Kalman,3e-09,0.22402922144473703,354.0,0.05253888196007382
Kalman,3e-09,0.21725161978501362,432.0,0.04439581043372453
Kalman,3e-09,0.23258685331431278,585.0,0.030622999627936503
Kalman,3e-09,0.2478333871293179,286.0,0.05878451139096395
Kalman,3e-09,0.25010701175378397,210.0,0.07933112191513621
Kalman,3e-09,0.270928878138124,197.0,0.07806695381434808
Kalman,3e-09,0.22201034647105772,444.0,0.04227003170596725
Kalman,3e-09,0.26477146538831126,272.0,0.05785603606685578
Kalman,3e-09,0.24876896267134316,235.0,0.07127294443609933
Kalman,3e-09,0.27304185962604094,175.0,0.08720100222776615
Kalman,3e-09,0.25753926746805983,258.0,0.06270838214229411
Kalman,3e-09,0.2478968343100107,244.0,0.06888552159115187
Kalman,3e-09,0.27494808183170527,273.0,0.055510535519419965
Kalman,3e-09,0.2519199101313601,237.0,0.06978754478788302
Kalman,3e-09,0.25093590499479734,247.0,0.06722471946297993
Kalman,3e-09,0.255177399753617,206.0,0.07926461056644489
Kalman,3e-09,0.2687788248063657,281.0,0.05516801878170253
Kalman,3e-09,0.20874635118621315,473.0,0.04219963791879306
Kalman,3e-09,0.2715590438559348,269.0,0.05703903999068046
Kalman,3e-09,0.24749932262485053,239.0,0.07043959376729508
Kalman,3e-09,0.25966586104749373,205.0,0.07827445306071626
Kalman,3e-09,0.2495238532361772,245.0,0.06815702186592679
Kalman,3e-09,0.26033192109361936,278.0,0.057572692312811764
Kalman,3e-09,0.2552715585784121,255.0,0.0640097524849272
Kalman,3e-09,0.24963412699650864,295.0,0.056579979489375966
Kalman,3e-09,0.27291934340567314,180.0,0.08481681019487229
Kalman,3e-09,0.29422002360877336,164.0,0.0863520563740552
Kalman,3e-09,0.26959124762478914,187.0,0.08264971554161812
Kalman,3e-09,0.2721689597661801,272.0,0.05628352132491743
Kalman,3e-09,0.27544223968895604,178.0,0.08498420477123754
Kalman,3e-09,0.21748444980184964,444.0,0.043149679864167345
Kalman,3e-09,0.25463849277231454,217.0,0.07540583778045311
Kalman,3e-09,0.2384353894034955,708.0,0.024682252182736855
Kalman,3e-09,0.23084523694437464,328.0,0.055029301018592595
Kalman,3e-09,0.290736912897232,163.0,0.08792269248994432
Kalman,3e-09,0.2654626234875651,269.0,0.058348956846857876
Kalman,3e-09,0.2062389577384417,1000.0,0.020203101840492017
Kalman,3e-09,0.30416875937943016,157.0,0.08725182094893857
Kalman,3e-09,0.27498290621714955,276.0,0.054900206580718765
Kalman,3e-09,0.25849545080325265,193.0,0.08351770366684197
Kalman,3e-09,0.24636837168078624,320.0,0.0528510751786115
Kalman,3e-09,0.25435229240280943,205.0,0.07990965231736208
Kalman,3e-09,0.2588531315931734,248.0,0.06490582194393776
Kalman,3e-09,0.2691178424972062,262.0,0.059094215903599215
Kalman,3e-09,0.24678379272457598,307.0,0.05499633495420571
Kalman,3e-09,0.23293129412979402,326.0,0.0548710560417339
Kalman,3e-09,0.25996416366502073,189.0,0.08480344009105849
Kalman,3e-09,0.26772168182026485,270.0,0.05764231966760336
Kalman,3e-09,0.24930306886302547,240.0,0.06963857761674734
Kalman,3e-09,0.26488783909644403,187.0,0.08411726262973569
Kalman,3e-09,0.2583714930445479,199.0,0.08103844276263161
Kalman,3e-09,0.22621225319851,389.0,0.04735033232166318
Kalman,3e-09,0.24161700911217096,221.0,0.07803132483744434
Kalman,3e-09,0.22400753558208503,385.0,0.04831315515519805
Kalman,3e-09,0.28883561700979515,170.0,0.08485727686671495
Kalman,3e-09,0.2688625864505238,178.0,0.08706395340982902
Kalman,3e-09,0.21416413595356076,442.0,0.0440169294460483
Kalman,3e-09,0.22209496063102946,353.0,0.053146583143099495
Kalman,3e-09,0.24480339558087072,233.0,0.07304918918333286
Kalman,3e-09,0.24684152341770998,215.0,0.07851128405347492
Kalman,3e-09,0.251579592057679,196.0,0.08450011078993508
Kalman,3e-09,0.20223609713677307,504.0,0.04087893251620966
Kalman,3e-09,0.25105484409419554,209.0,0.07940975693442671
Kalman,3e-09,0.24882449274451632,228.0,0.07344475457218566
Kalman,3e-09,0.218288273680843,422.0,0.045232011445374386
Kalman,3e-09,0.25105876673969013,289.0,0.05742692002274741
Kalman,3e-09,0.25540377161636396,212.0,0.07695300631596157
Kalman,3e-09,0.27686532311786255,184.0,0.0817904072681282
Kalman,3e-09,0.24400010674991132,304.0,0.0561726817805262
Kalman,3e-09,0.2530919994600236,218.0,0.07551858568375552
Kalman,3e-09,0.26897380154834505,183.0,0.08465014130962306
Kalman,3e-09,0.24769183126657168,239.0,0.07038484738970889
Kalman,3e-09,0.2485726996150259,211.0,0.07944249476160944
Kalman,3e-09,0.19484183419562984,949.0,0.022534106191789697
Kalman,3e-09,0.26120852267557515,216.0,0.07384951784574327
Kalman,3e-09,0.2748824056756886,634.0,0.02390851253843327
Kalman,3e-09,0.25272135293887904,315.0,0.05234030711568847
Kalman,3e-09,0.2647472348457021,270.0,0.058289933696290014
Kalman,3e-09,0.2582177380430596,242.0,0.06667873006897508
Kalman,3e-09,0.2563393351701803,298.0,0.05454528817824573
Kalman,3e-09,0.2223938372018741,1000.0,0.01873553115990552
