Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,1e-09,0.2849028300973874,103.0,0.14198902278306264
No Filter,1e-09,0.28335464525803267,183.0,0.08035396874796236
No Filter,1e-09,0.27899226828295814,127.0,0.11759608663010138
No Filter,1e-09,0.29365119857053684,237.0,0.059869914023282025
No Filter,1e-09,0.28633900214455205,201.0,0.07239560364998567
No Filter,1e-09,0.28492881394528674,210.0,0.06963588401796335
No Filter,1e-09,0.28335751161471356,128.0,0.11487990259314176
No Filter,1e-09,0.29200272737159605,108.0,0.1321228991963623
No Filter,1e-09,0.2889082344430234,104.0,0.1386741455858495
No Filter,1e-09,0.2951296219292238,291.0,0.04851577439057426
No Filter,1e-09,0.2771215620396885,99.0,0.1518739349539118
No Filter,1e-09,0.2904220218369582,971.0,0.014775425070653736
No Filter,1e-09,0.2933467354106851,180.0,0.0789105360785446
No Filter,1e-09,0.29136231274370517,115.0,0.12435336511706693
No Filter,1e-09,0.2912172759970462,111.0,0.12889873174254357
No Filter,1e-09,0.28943861313069374,106.0,0.13580833488474334
No Filter,1e-09,0.28118013021220806,155.0,0.09560320073050593
No Filter,1e-09,0.2964046401583451,109.0,0.12896660347074312
No Filter,1e-09,0.27668716995204107,85.0,0.17716617598002088
No Filter,1e-09,0.2774958293515856,97.0,0.15479629571677975
No Filter,1e-09,0.2870811861204746,169.0,0.08588104529007189
No Filter,1e-09,0.28686129543692024,201.0,0.0722637917297831
No Filter,1e-09,0.2834577471892438,138.0,0.10651759217862565
No Filter,1e-09,0.2810963812303412,131.0,0.11315199305258171
No Filter,1e-09,0.2795157274181004,135.0,0.11042025368646768
No Filter,1e-09,0.29383006407296464,108.0,0.1313012234990355
No Filter,1e-09,0.29465491639480357,579.0,0.024422859032932932
No Filter,1e-09,0.2863776237427034,233.0,0.06244443725315648
No Filter,1e-09,0.3753322154770341,447.0,0.024835070251042608
No Filter,1e-09,0.2815725732778864,114.0,0.12980563830081548
No Filter,1e-09,0.28341096166842183,113.0,0.13010490534703748
No Filter,1e-09,0.28635593894486056,80.0,0.18188319587589305
No Filter,1e-09,0.2789717164747087,98.0,0.15240615550564474
No Filter,1e-09,0.2802071239458418,152.0,0.09782863588811756
No Filter,1e-09,0.2861479221916873,256.0,0.05687981776000292
No Filter,1e-09,0.2884070839664569,199.0,0.07259885285280111
No Filter,1e-09,0.2813435364709124,334.0,0.044340986314037364
No Filter,1e-09,0.28623937702657426,168.0,0.08664631525970914
No Filter,1e-09,0.2825327580977473,129.0,0.1143221119545101
No Filter,1e-09,0.289019716690623,119.0,0.12114746358194357
No Filter,1e-09,0.28235276960065825,131.0,0.11264849932609718
No Filter,1e-09,0.2807762575109986,147.0,0.10095109698049785
No Filter,1e-09,0.2804935243136447,146.0,0.10174499698423108
No Filter,1e-09,0.2838381945175985,100.0,0.14679725093897908
No Filter,2e-09,0.5837561717116522,112.0,0.06372931500372583
No Filter,2e-09,0.5775533628538128,105.0,0.06870800558836658
No Filter,2e-09,0.5687023532984556,179.0,0.04093084418683526
No Filter,2e-09,0.5660727458034347,118.0,0.06237843938796211
No Filter,2e-09,0.5540947572191824,88.0,0.08545196328171588
No Filter,2e-09,0.5957406743419438,209.0,0.03346456773117268
No Filter,2e-09,0.5579095762267609,99.0,0.07543792736483826
No Filter,2e-09,0.5705627025051387,122.0,0.05985846133041491
No Filter,2e-09,0.5682832406760281,113.0,0.0648851729259492
No Filter,2e-09,0.5692998967163541,175.0,0.041822462900228806
No Filter,2e-09,0.5722580221575848,173.0,0.04208727092934701
No Filter,2e-09,0.5829440004205589,120.0,0.05956356390523315
No Filter,2e-09,0.5770958548314694,121.0,0.05966991691188838
No Filter,2e-09,0.5618090787225369,127.0,0.058397772824768567
No Filter,2e-09,0.564621671299751,101.0,0.07306507615546326
No Filter,2e-09,0.5906847985579126,119.0,0.05927697087807825
No Filter,2e-09,0.578731515062418,168.0,0.04285508332635449
No Filter,2e-09,0.5488056908275887,490.0,0.015494375336599092
No Filter,2e-09,0.5724023114341783,121.0,0.060159194014625786
No Filter,2e-09,0.5649506734139701,539.0,0.013683256321313484
No Filter,2e-09,0.5879533967499686,110.0,0.06442481340897176
No Filter,2e-09,0.5527437402805884,98.0,0.07691992455878062
No Filter,2e-09,0.5713725349691565,101.0,0.0722017998550949
No Filter,2e-09,0.580943242601076,111.0,0.06461481050966271
No Filter,2e-09,0.5920535259252419,141.0,0.04991242536219472
No Filter,2e-09,0.5950878826507874,286.0,0.024481702608140466
No Filter,2e-09,0.5715100007266989,118.0,0.06178498087238676
No Filter,2e-09,0.5471629033331835,396.0,0.01922989562667489
No Filter,2e-09,0.5853888556743323,556.0,0.012801755147064482
No Filter,2e-09,0.5640102648071202,139.0,0.05314800289123009
No Filter,2e-09,0.5720311857064928,152.0,0.047920954987617635
