Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
Kalman,1e-09,0.16250395693544595,132.0,0.19424546430088407
Kalman,1e-09,0.15223151056482578,130.0,0.21054302051107504
Kalman,1e-09,0.10652985191856675,329.0,0.11888348754953551
Kalman,1e-09,0.1561593489368233,124.0,0.21517860292327862
Kalman,1e-09,0.09439612261186069,600.0,0.07356705182689241
Kalman,1e-09,0.19085217488601625,89.0,0.2453023101712597
Kalman,1e-09,0.12216192613954968,186.0,0.1833749221190763
Kalman,1e-09,0.1290369728855167,206.0,0.15674993580927948
Kalman,1e-09,0.15338383743870493,162.0,0.16768497280120376
Kalman,1e-09,0.1494545979768182,163.0,0.17103771000811913
Kalman,1e-09,0.20346361154241818,111.0,0.18449263361135065
Kalman,1e-09,0.15128146313553745,130.0,0.21186523045831712
Kalman,1e-09,0.1488881618996339,163.0,0.17168841271189014
Kalman,1e-09,0.14672975741508015,142.0,0.19997799711266434
Kalman,1e-09,0.20521548956895141,102.0,0.19905745559664045
Kalman,1e-09,0.18436451908213528,120.0,0.1883346231427171
Kalman,1e-09,0.09574609484425634,436.0,0.09981164181257139
Kalman,1e-09,0.15767474016942212,124.0,0.21311054961326567
Kalman,1e-09,0.17578265287155592,101.0,0.2346882626847461
Kalman,1e-09,0.1536443931094358,145.0,0.18702688462858913
Kalman,1e-09,0.19080396499293517,120.0,0.18197851508750285
Kalman,1e-09,0.0965676296894921,1000.0,0.04314765392983501
Kalman,1e-09,0.19720622779488978,106.0,0.19932522689654897
Kalman,1e-09,0.17752623534955303,113.0,0.20770539221754375
Kalman,1e-09,0.1576624997266172,130.0,0.20329045972795157
Kalman,1e-09,0.13026282814098059,163.0,0.19623688931790634
Kalman,1e-09,0.20454830282481518,106.0,0.19217062941995813
Kalman,1e-09,0.20055613026637165,85.0,0.24441839687488548
Kalman,1e-09,0.1570439770087334,118.0,0.2248461554263438
Kalman,1e-09,0.1438755083744937,128.0,0.2262517345801725
Kalman,1e-09,0.11724477877813853,210.0,0.16922945352488009
Kalman,1e-09,0.09838943123192943,414.0,0.10229159892794633
Kalman,1e-09,0.23744919944991805,81.0,0.21663719792391473
Kalman,1e-09,0.17124214021605996,123.0,0.19782127641389133
Kalman,1e-09,0.15138155911272996,121.0,0.2274732927168885
Kalman,1e-09,0.12582658783104728,398.0,0.08320190434910561
Kalman,1e-09,0.18273792601387978,124.0,0.1838816455380049
Kalman,1e-09,0.18824302861766176,95.0,0.2329948123172723
Kalman,1e-09,0.20791869762046672,97.0,0.2065967464787195
Kalman,1e-09,0.20072021434244577,92.0,0.22563674127607009
Kalman,1e-09,0.08725018429644169,783.0,0.060990282259007225
Kalman,1e-09,0.21689819376483585,94.0,0.2043642704688031
Kalman,1e-09,0.21845148277297147,99.0,0.19266311014827084
Kalman,1e-09,0.21077820579939824,105.0,0.18826680648523184
Kalman,1e-09,0.16295579551699915,136.0,0.18800960594718327
Kalman,1e-09,0.22032741804440908,104.0,0.18183893280148755
Kalman,1e-09,0.17904066271627747,126.0,0.18469984732566913
Kalman,1e-09,0.19481632756496411,119.0,0.17972829094915058
Kalman,1e-09,0.17489452537762487,124.0,0.19212808671444728
Kalman,1e-09,0.11467937702673593,328.0,0.11077189606252164
Kalman,1e-09,0.09441163719578068,615.0,0.07176093913749321
Kalman,1e-09,0.16359708029168518,125.0,0.20375261755223084
Kalman,1e-09,0.17710406238593926,108.0,0.21783942386091323
Kalman,1e-09,0.18709819006487793,99.0,0.22494895366410472
Kalman,1e-09,0.213252260925749,107.0,0.18260444133066386
Kalman,1e-09,0.17928341418042873,111.0,0.20937540546701214
Kalman,1e-09,0.10618398906759224,238.0,0.16487422402238278
Kalman,1e-09,0.19306873413473316,122.0,0.17689557875614997
Kalman,1e-09,0.2003158765492343,92.0,0.22609218925955815
Kalman,1e-09,0.13216255819152942,152.0,0.20741336333720647
Kalman,1e-09,0.15062190245226853,126.0,0.21954830293862762
Kalman,1e-09,0.18539105686903687,115.0,0.19543490754015055
Kalman,1e-09,0.1517648542444853,139.0,0.1975162123923795
Kalman,1e-09,0.10832801539503624,249.0,0.1544715926893758
Kalman,1e-09,0.18036156660740554,93.0,0.248405845137924
Kalman,1e-09,0.11680912328231548,253.0,0.14099102660298798
Kalman,1e-09,0.18013841693768856,111.0,0.20838163327771497
Kalman,1e-09,0.1575742917360311,149.0,0.1774668031724396
Kalman,1e-09,0.20056606203709143,105.0,0.19785271386143607
Kalman,1e-09,0.13456303032125488,168.0,0.1843120450124834
Kalman,1e-09,0.17931752806482484,131.0,0.17737594377602092
Kalman,1e-09,0.20234730045338822,98.0,0.21011897221982018
Kalman,1e-09,0.10239023167321737,711.0,0.057234860930099385
Kalman,1e-09,0.09935386512070044,451.0,0.09298811616136088
Kalman,1e-09,0.18037407845333292,99.0,0.23333475878814341
Kalman,1e-09,0.1382754409335096,161.0,0.18716206587046424
Kalman,1e-09,0.1677701263970727,120.0,0.2069630807813951
Kalman,1e-09,0.1187048906147002,349.0,0.1005760833320974
Kalman,1e-09,0.1861688483572666,120.0,0.18650930340176286
Kalman,1e-09,0.10212593431468217,399.0,0.10225388556535368
Kalman,1e-09,0.1737201584355899,128.0,0.18738230281664545
Kalman,1e-09,0.11658422091419246,192.0,0.18614344821896095
Kalman,1e-09,0.1254662680104422,164.0,0.20249669068762086
Kalman,1e-09,0.18945491838175588,92.0,0.23905346696359556
Kalman,1e-09,0.2119080668521928,96.0,0.20481890294460328
Kalman,1e-09,0.12375886572582663,221.0,0.15234217939627637
Kalman,1e-09,0.10797254796390489,328.0,0.11765260959449626
Kalman,1e-09,0.1621784843922958,151.0,0.17014475802968038
Kalman,1e-09,0.2101647925977686,106.0,0.18703501958989052
Kalman,1e-09,0.20480116860831485,98.0,0.20760138768561162
Kalman,1e-09,0.19711046356816778,85.0,0.24869104843936676
Kalman,1e-09,0.194120861503775,113.0,0.18994947815779106
Kalman,1e-09,0.1216367362014367,195.0,0.17566667796919222
Kalman,1e-09,0.21126617562945085,108.0,0.1826144047840761
Kalman,1e-09,0.13117393930766674,195.0,0.16289456183368958
Kalman,1e-09,0.17747840151171795,98.0,0.23956158293387558
Kalman,1e-09,0.09722148120577388,564.0,0.07598842112017949
Kalman,1e-09,0.1868747598298325,108.0,0.20644974713926745
Kalman,1e-09,0.1553176966890807,156.0,0.1719662490415972
Kalman,1e-09,0.12843037375414712,163.0,0.1990368122502924
Kalman,2e-09,0.2634881256395311,132.0,0.11979916168533696
Kalman,2e-09,0.25181804119195994,130.0,0.1272795304878473
Kalman,2e-09,0.19633474321766753,329.0,0.06450534488526095
Kalman,2e-09,0.2609604374678713,124.0,0.12876338982138397
Kalman,2e-09,0.17284185315668465,600.0,0.04017802585204386
Kalman,2e-09,0.30025385898812773,89.0,0.1559229898277518
Kalman,2e-09,0.20870797548496522,186.0,0.10733386512759312
Kalman,2e-09,0.21052994028879018,206.0,0.09607439772738802
Kalman,2e-09,0.23890487779319,162.0,0.10765859971816219
Kalman,2e-09,0.23512848121669094,163.0,0.10871661338458251
Kalman,2e-09,0.308570774734437,111.0,0.12164968497046809
Kalman,2e-09,0.2529804336772445,130.0,0.12669470751312517
Kalman,2e-09,0.23646529697315846,163.0,0.10810200276889122
Kalman,2e-09,0.23866388733990299,142.0,0.12294580186278953
Kalman,2e-09,0.3065745323508453,102.0,0.13324548810162035
Kalman,2e-09,0.28142600500128684,120.0,0.12337957973025077
Kalman,2e-09,0.1731993707008017,436.0,0.05517673005900341
Kalman,2e-09,0.25525674820719796,124.0,0.13164059627665062
Kalman,2e-09,0.2877477497897579,101.0,0.14336906350330617
Kalman,2e-09,0.2492306583811568,145.0,0.11529734090723975
Kalman,2e-09,0.29310589665696785,120.0,0.11846306273005099
