Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,1e-09,0.28446784484569804,179.0,0.0818281146122925
No Filter,1e-09,0.2892986380699113,193.0,0.0746251230335749
No Filter,1e-09,0.29135492396679796,232.0,0.06164223988536119
No Filter,1e-09,0.2842034338230686,238.0,0.06160025079788256
No Filter,1e-09,0.2873620732282776,229.0,0.06331751000309871
No Filter,1e-09,0.2877343755707387,186.0,0.0778545616849626
No Filter,1e-09,0.29123123527872713,331.0,0.043223786781237346
No Filter,1e-09,0.2842085915035374,233.0,0.06292100271109055
No Filter,1e-09,0.2893047947137389,245.0,0.05878507038888283
No Filter,1e-09,0.28730494247631044,198.0,0.07324541952669747
No Filter,1e-09,0.2888352224600229,275.0,0.052457297356149984
No Filter,1e-09,0.29534081870250906,247.0,0.05711738692461655
No Filter,1e-09,0.2894331933656086,212.0,0.06790543897806377
No Filter,1e-09,0.291658023976674,208.0,0.06868335391195474
No Filter,1e-09,0.29598949607339864,810.0,0.01737910631982392
No Filter,1e-09,0.28869262296757,204.0,0.07074942335329987
No Filter,1e-09,0.2882041217622812,293.0,0.04934247733873439
No Filter,1e-09,0.2868210661191344,479.0,0.03032789020232272
No Filter,1e-09,0.28513073643520637,1000.0,0.014613179619846097
No Filter,1e-09,0.28002978796307354,339.0,0.04389194522291942
No Filter,1e-09,0.28887701111799624,220.0,0.06556213617032286
No Filter,1e-09,0.2831517730832226,319.0,0.04612950450727518
No Filter,1e-09,0.29115313340835197,228.0,0.06276715482068503
No Filter,1e-09,0.2747042810303235,874.0,0.017354491701555435
No Filter,1e-09,0.2869700248364957,229.0,0.06340401216646051
No Filter,1e-09,0.2870705391806742,306.0,0.04743279395046146
No Filter,1e-09,0.285485399042949,223.0,0.06544854465074293
No Filter,1e-09,0.28376642394686485,833.0,0.017627176361276448
No Filter,1e-09,0.28639258102479753,253.0,0.057505114654987026
No Filter,1e-09,0.29631112533538734,284.0,0.04951336702508642
No Filter,1e-09,0.2781218230202886,373.0,0.04016473066758577
No Filter,1e-09,0.2861140648482411,209.0,0.06967921747330004
